timestamp_utc,timestamp_local,timezone_local,origin,destination,distance_m,distance_text,duration_s,duration_text,duration_in_traffic_s,duration_in_traffic_text,weekday_local,hour_local
2026-01-04 10:34:45,2026-01-04 11:34:45,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,838,14 mins,Sunday,11
2026-01-04 11:23:06,2026-01-04 12:23:06,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,865,14 mins,Sunday,12
2026-01-04 12:28:45,2026-01-04 13:28:45,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,871,15 mins,Sunday,13
2026-01-04 13:30:37,2026-01-04 14:30:37,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,874,15 mins,Sunday,14
2026-01-04 14:17:53,2026-01-04 15:17:53,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,861,14 mins,Sunday,15
2026-01-04 15:17:21,2026-01-04 16:17:21,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,878,15 mins,Sunday,16
2026-01-04 16:20:12,2026-01-04 17:20:12,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,887,15 mins,Sunday,17
2026-01-04 17:17:25,2026-01-04 18:17:25,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,867,14 mins,Sunday,18
2026-01-04 18:23:49,2026-01-04 19:23:49,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,817,14 mins,Sunday,19
2026-01-04 19:15:39,2026-01-04 20:15:39,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,821,14 mins,Sunday,20
2026-01-04 20:20:02,2026-01-04 21:20:02,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,828,14 mins,Sunday,21
2026-01-04 21:17:02,2026-01-04 22:17:02,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,823,14 mins,Sunday,22
2026-01-05 06:31:45,2026-01-05 07:31:45,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,1106,18 mins,Monday,7
2026-01-05 07:27:52,2026-01-05 08:27:52,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,983,16 mins,Monday,8
2026-01-05 08:27:23,2026-01-05 09:27:23,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,959,16 mins,Monday,9
2026-01-05 09:29:31,2026-01-05 10:29:31,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,1071,18 mins,Monday,10
2026-01-05 10:22:50,2026-01-05 11:22:50,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,1005,17 mins,Monday,11
2026-01-05 11:18:34,2026-01-05 12:18:34,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,1025,17 mins,Monday,12
2026-01-05 12:33:08,2026-01-05 13:33:08,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,1041,17 mins,Monday,13
2026-01-05 13:41:35,2026-01-05 14:41:35,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,1107,18 mins,Monday,14
2026-01-05 14:23:09,2026-01-05 15:23:09,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,1415,24 mins,Monday,15
2026-01-05 15:21:22,2026-01-05 16:21:22,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",10596,10.6 km,1106,18 mins,1494,25 mins,Monday,16
2026-01-05 16:23:30,2026-01-05 17:23:30,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",10421,10.4 km,1120,19 mins,1771,30 mins,Monday,17
2026-01-05 17:21:50,2026-01-05 18:21:50,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",10421,10.4 km,1120,19 mins,1562,26 mins,Monday,18
2026-01-05 18:26:03,2026-01-05 19:26:03,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,989,16 mins,Monday,19
2026-01-05 19:21:29,2026-01-05 20:21:29,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,941,16 mins,Monday,20
2026-01-05 20:21:47,2026-01-05 21:21:47,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,963,16 mins,Monday,21
2026-01-05 21:19:28,2026-01-05 22:19:28,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,887,15 mins,Monday,22
2026-01-06 06:27:05,2026-01-06 07:27:05,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,1259,21 mins,Tuesday,7
2026-01-06 07:26:06,2026-01-06 08:26:06,Europe/Berlin,"51.150368,6.893793","51.105461,6.943102",9876,9.9 km,936,16 mins,1065,18 mins,Tuesday,8
